hhid,housing,high,hh_inc,hh_size,expec_stockret_prior,expec_hpgrowth_prior,expec_irate_perc,expec_inflation_perc,expec_houseprice_perc,expec_hh_workincome_perc,expec_stockret_perc,expec_gdp_perc,expec_rent_perc,female,age_hh_head_18_24,age_hh_head_25_29,age_hh_head_30_34,age_hh_head_35_39,age_hh_head_40_44,age_hh_head_45_49,age_hh_head_50_54,age_hh_head_55_64,age_hh_head_65,age_children_none,inc_5000,inc_5000_8000,inc_8000_10000,inc_10000_12000,inc_12000_15000,inc_15000_20000,inc_20000_25000,inc_25000_30000,inc_30000_35000,inc_35000_40000,inc_40000_45000,inc_45000_50000,inc_50000_60000,inc_60000_70000,inc_70000_100000,inc_100000,atleast_bachelor,owner,stockowner,prior,z_conf_prior,expec_irate_perc_t01,expec_inflation_perc_t01,expec_houseprice_perc_t01,expec_hh_workincome_perc_t01,expec_stockret_perc_t01,expec_gdp_perc_t01,expec_rent_perc_t01,prior_t01,prior_squ,prior_squ_t01
04905816,1,1,26,3,,80,.01,.6,2,10,2,.13,.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,80,-.096149743,.0099999998,.60000002,2,10,2,.13,.12,80,6400,6400
04906130,1,1,23,1,,12,1,6,20,50,3,4,30,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12,-.096149743,1,6,20,50,3,4,30,12,144,144
04906257,1,1,26,4,,5,2,5,5,10,1,5,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,-.96465683,2,5,5,10,1,5,5,5,25,25
04906438,1,1,27,3,,2,2,3,5,2,4,6,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,-.096149743,2,3,5,2,4,6,2,2,4,4
04906621,1,1,13,3,,34,12,24,45,21,18,32,44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,34,-.096149743,12,24,45,21,18,32,44,34,1156,1156
04906941,0,0,26,8,5,,.5,2,2,5,.2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,1.6408644,.5,2,2,5,.2,2,2,5,25,25
04907102,0,1,18,2,40,,10,30,10,10,10,30,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40,1.6408644,10,30,10,10,10,30,20,40,1600,1600
04907112,1,0,21,2,,3,2,1.2,1.2,0,3.4,1.5,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,-.96465683,2,1.2,1.2,0,3.4000001,1.5,5,3,9,9
04907129,0,1,26,4,5,,2.5,2.5,2.5,1.5,5,2.5,2.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,.77235729,2.5,2.5,2.5,1.5,5,2.5,2.5,5,25,25
04907594,1,1,27,2,,2,1,3,5,3,10,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,-.096149743,1,3,5,3,10,2,1,2,4,4
04907611,1,0,13,4,,20,5,10,2,5,4,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,-.096149743,5,10,2,5,4,2,5,20,400,400
04907997,1,0,23,2,,25,1,2,25,10,5,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,25,-.096149743,1,2,25,10,5,2,10,25,625,625
04908070,0,0,26,2,50,,1,2,3,1,2,10,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,50,1.6408644,1,2,3,1,2,10,3,50,2500,2500
04908799,0,0,4,1,2,,4,2,7,50,7,2,7,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.6408644,4,2,7,50,7,2,7,2,4,4
04908915,0,0,23,2,10,,1,2,5,1,2,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,1.6408644,1,2,5,1,2,3,3,10,100,100
04908926,0,0,27,2,1,,.5,3,2,0,5,5,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,.77235729,.5,3,2,0,5,5,5,1,1,1
04908957,1,1,26,4,,1,0,3,1,2,6,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-.96465683,0,3,1,2,6,2,2,1,1,1
04908973,0,0,23,2,4,,2,4,5,0,3,3,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,4,-.096149743,2,4,5,0,3,3,5,4,16,16
04909140,0,0,23,3,10,,1,2,2,10,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,.77235729,1,2,2,10,1,2,2,10,100,100
04909254,0,1,26,6,0,,5,3,20,50,2,20,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.8331639,5,3,20,50,2,20,20,0,0,0
